카테고리명,상품id,data-item-id,data-vendor-item-id,상품,상품명,정가,할인율,판매가,100g당_가격,별점,리뷰수,품절여부,구성정보,구성정보_전처리,상세카테고리,알레르기,알레르기(갑각류),알레르기(견과류),알레르기(달걀),알레르기(밀가루),알레르기(우유),알레르기(조개류),알레르기(오징어류),알레르기(콩),알레르기(닭),알레르기(돼지),알레르기(복숭아),알레르기(소),알레르기(토마토),알레르기(생선)
4,6565459953,14716851774,81957567566,애슐리 플러스 감바스 피칸테,"애슐리 플러스 감바스 피칸테, 1개, 609g",16900,0,16900,"(100g당 2,775원)",4.5,214,0,"수산물가공품(흰다리새우), 건고추, 방울토마토, 쥬키니호박, 마늘, 건면, 구성품1, 빵, 올리브유, 구성품2, 구성품3으로 구성되어 있습니다.","흰다리새우,건고추,방울토마토,쥬키니호박,마늘,건면,빵,올리브유",감바스,갑각류,1,,,,,,,,,,,,1,
4,156649272,451065872,4117038563,프레시지 쉬림프 로제 파스타,"프레시지 쉬림프 로제 파스타, 562g, 1개",11900,8%,10900,"(100g당 1,940원)",5.0,11672,0,"수산물가공품(새우 함유), 양파, 소스, 건면 등으로 구성되어 있습니다.","양파,소스,건면",파스타,,,,,,,,,,,,,,,
4,6638342207,15165313309,82386708499,바다자리 새우 해물 감바스 밀키트 1~2인분 240g,"바다자리 새우 해물 감바스 밀키트 1~2인분 240g, 1세트",16100,19%,12900,,4.0,131,0,"바지락, 새우살, 오징어, 건고추, 양파, 마늘, 올리브오일, 허브솔트로 구성되어 있습니다.","바지락,새우살,오징어,건고추,양파,마늘,올리브오일,허브솔트",감바스,갑각류,1,,,,,,1,,,,,,,
4,4584549440,5625626678,72924782993,프레시지 머쉬룸 크림 빠네 파스타,"프레시지 머쉬룸 크림 빠네 파스타, 674g, 1개",12900,0,12900,"(100g당 1,914원)",4.5,4750,0,"1. 빵, 치즈, 스파게티면, 치즈크림소스, 표고버섯, 브로콜리 등이 담겨 있어요.2. 제품에 포함된 채소와 버섯은 조리 전 흐르는 물에 깨끗하게 씻은 다음 조리해주세요.3. 피클, 할라피뇨 등을 미리 준비해 함께 드셔 보세요.","빵,치즈,스파게티면,표고버섯",파스타,갑각류,1,,,,,,,,,,,,,
4,6922145636,16720125492,83902327473,프레시지 쉬림프 투움바 파스타 (냉동),"프레시지 쉬림프 투움바 파스타 (냉동), 1개, 480g",11900,10%,10710,"(100g당 2,231원)",4.5,14,0,"페투치네, 기타 수산물가공품(새우 등 함유), 마늘, 양파, 소스 등으로 구성되어 있습니다.","페투치네,마늘,양파,소스",파스타,,,,,,,,,,,,,,,
4,6680977086,15406070888,82625961495,프레시지 푸짐한 김치어묵 우동전골 (냉동),"프레시지 푸짐한 김치어묵 우동전골 (냉동), 1.49kg, 1개",16900,11%,14900,"(100g당 1,000원)",4.5,516,0,"어묵, 우동 면, 야채 (무, 대파, 청양고추) 등으로 구성되어 있습니다.","어묵,우동 면,야채,무,대파,청양고추",전골,,,,,,,,,,,,,,,
4,293473547,926572666,5302426718,마이셰프 스페인 감바스알아히요 앤 파스타,"마이셰프 스페인 감바스알아히요 앤 파스타, 587g, 1개",16500,18%,13400,"(100g당 2,283원)",4.5,5171,0,"빵, 마늘, 방울토마토, 마늘종, 기타수산물가공품, 건고추, 건면, 올리브유 등으로 구성되어 있습니다.","빵,마늘,방울토마토,마늘종,건고추,건면,올리브유",파스타,토마토,,,,,,,,,,,,,1,
4,4712511957,5947660233,73245608268,앙트레 감바스 알 아히요 2인분,"앙트레 감바스 알 아히요 2인분, 369g, 1개",16280,14%,13900,"(100g당 3,767원)",4.5,613,0,"바게트 빵, 새우, 올리브 오일, 훈제 파프리카 파우더, 크러쉬드 페퍼, 마늘, 사천 고추, 건파슬리, 허브 솔트로 구성되어 있습니다.","바게트 빵,새우,올리브 오일,훈제 파프리카 파우더,크러쉬드 페퍼,마늘,사천 고추,건파슬리,허브 솔트",감바스,갑각류,1,,,,,,,,,,,,,
4,6636134733,15151380462,82372899886,모두의맛집 어쩌다농부 명란 들기름 파스타 (냉동),"모두의맛집 어쩌다농부 명란 들기름 파스타 (냉동), 1개, 276g",9000,0,9000,"(100g당 3,261원)",4.5,5,0,숙면과 명란 들기름 파스타 만들기에 필요한 재료로 구성되어 있습니다.,숙면,파스타,,,,,,,,,,,,,,,
4,6246947933,12641184023,79908701428,맛투데이 찐 모듬 해물탕 690g (냉동),"맛투데이 찐 모듬 해물탕 690g (냉동), 1세트",16510,1%,16290,,4.5,121,0,"해산물, 건조 파, 건조 청양고추, 소스로 구성되어 있습니다.","해산물,소스",해물탕,,,,,,,,,,,,,,,
4,6246947886,12641183674,79908701163,맛투데이 찐 알곤이탕 540g (냉동),"맛투데이 찐 알곤이탕 540g (냉동), 1세트",13900,0,13900,,4.5,677,0,"해산물, 건조 파, 건조 청양고추, 소스로 구성되어 있습니다.","해산물,소스",알탕,,,,,,,,,,,,,,,
4,6919151891,16702270354,83884773440,해물래 갑오징어파스타 알리오올리오소스,"해물래 갑오징어파스타 알리오올리오소스, 470g, 1세트",10890,0,10890,"(100g당 2,317원)",3.5,3,0,"숙면, 바지락, 새우, 갑오징어, 소스로 구성되어 있습니다.","숙면,바지락,새우,갑오징어,소스",파스타,갑각류,1,,,,,,1,,,,,,,
4,6636134619,15151379986,82372899340,모두의맛집 샤오짠 탄탄면 (냉동),"모두의맛집 샤오짠 탄탄면 (냉동), 1개, 580g",8800,0,8800,"(100g당 1,517원)",4.0,8,0,"구성품(청경채, 돼지고기, 두반장 소스 등 함유), 생면으로 구성되어 있습니다.","청경채,돼지고기,생면",면,돼지,,,,,,,,,,1,,,,
4,6636134628,15151379998,82372899367,모두의맛집 미소댓잎국수 죽순 비빔국수 (냉동),"모두의맛집 미소댓잎국수 죽순 비빔국수 (냉동), 1개, 347g",7500,0,7500,"(100g당 2,161원)",4.5,6,0,"조미김, 죽순, 참기름, 우렁살, 생면, 소스로 구성되어 있습니다.","조미김,죽순,참기름,우렁살,생면,소스",국수,,,,,,,,,,,,,,,
4,5648470972,9235673806,76521315419,푸드어셈블 매콤 감바스 알 아히요 앤 바게트 밀키트,"푸드어셈블 매콤 감바스 알 아히요 앤 바게트 밀키트, 516g, 1팩",16900,2%,16400,"(100g당 3,178원)",4.5,307,1,"빵, 새우, 마늘, 양송이버섯, 건고추, 올리브유, 고추맛기름, 고춧가루, 후추가루, 재제소금, 시즈닝으로 구성되어 있습니다.","빵,새우,마늘,양송이버섯,건고추,올리브유,고추맛기름,고춧가루,후추가루,시즈닝",감바스,갑각류,1,,,,,,,,,,,,,
4,1717551896,2923166319,70911802219,프레시지 바질크림 빠네 파스타,"프레시지 바질크림 빠네 파스타, 636g, 1개",10830,8%,9900,"(100g당 1,557원)",4.5,728,1,"건면, 소스, 크림, 스프볼, 양파, 바질 분태, 치즈 파우더로 구성되어 있습니다.","건면,소스,크림,양파",파스타,,,,,,,,,,,,,,,
4,318178949,1015672220,5451604420,프레시지 2in1 홈파티 세트 더큰 블랙라벨 스테이크 & 쉬림프 로제 파스타,"프레시지 2in1 홈파티 세트 더큰 블랙라벨 스테이크 & 쉬림프 로제 파스타, 1161g, 1세트",26900,0,26900,"(100g당 2,317원)",4.5,2955,1,"스파게티, 기타 수산물가공품, 양파, 소고기, 마늘, 아스파라거스, 방울토마토, 적양파 등으로 구성되어 있습니다.","스파게티,양파,소고기,마늘,아스파라거스,방울토마토,적양파",스테이크,갑각류,1,,,,,,,,,,,1,1,
4,6135492875,11729969992,79003935867,애슐리 플러스 바지락 봉골레 파스타,"애슐리 플러스 바지락 봉골레 파스타, 892g, 1개",13900,0,13900,"(100g당 1,558원)",4.5,701,1,"면, 바지락, 건고추, 마늘, 호박, 조개육수스톡, 올리브유, 소스로 구성되어 있습니다.","면,바지락,건고추,마늘,호박,올리브유,소스",파스타,,,,,,,,,,,,,,,
4,6641444068,15183076901,82404328861,마이셰프 허챠밍 깻잎 페스토 감바스 2인분,"마이셰프 허챠밍 깻잎 페스토 감바스 2인분, 1팩, 514g",17900,0,17900,"(100g당 3,482원)",5.0,6,1,"바게트, 새우살, 방울토마토, 마늘, 깻잎, 새송이버섯, 건고추, 올리브유 등으로 구성되어 있습니다.","바게트,새우살,방울토마토,마늘,깻잎,새송이버섯,건고추,올리브유",감바스,갑각류,1,,,,,,,,,,,,1,
4,6690372983,15458253828,82677815295,마이셰프 원팬 볼로네제 라구 파스타,"마이셰프 원팬 볼로네제 라구 파스타, 467g, 1개",9900,0,9900,"(100g당 2,120원)",4.5,66,1,"스파게티 면,  소스, 방울토마토, 가공 치즈로 구성되어 있습니다.","스파게티 면,소스,방울토마토",파스타,갑각류,1,,,,,,,,,,,,1,
4,6953855822,16905444886,84083561174,마이셰프 알찬 로제 스테이크 파스타,"마이셰프 알찬 로제 스테이크 파스타, 1개, 584g",13900,0,13900,"(100g당 2,380원)",5.0,3,1,"소고기, 마늘, 마늘종, 소스, 건면, 치즈로 구성되어 있습니다.","소고기,마늘,마늘종,소스,건면,치즈",스테이크,소,,,,,,,,,,,,1,,
4,310078021,977477575,5392649067,프레시밀 베이컨크림파스타,"프레시밀 베이컨크림파스타, 630g, 1팩",14500,4%,13870,"(100g당 2,202원)",4.5,1561,1,"베이컨, 면, 크림 소스, 양파, 마늘, 매일우유, 올리브유, 갈릭 치즈 파우더로 구성되어 있습니다.","베이컨,면,크림 소스,양파,마늘,올리브유",파스타,,,,,,,,,,,,,,,
4,7012483761,17238244574,84409853077,바른식 팔당원조칼제비 시원칼제비 (냉동),"바른식 팔당원조칼제비 시원칼제비 (냉동), 485g, 1개",9900,0,9900,"(100g당 2,041원)",0,0,1,"칼국수용 생면, 수제비용 생면, 채소(대파, 애호박, 청양고추), 기타수산물가공품, 칼제비 육수로 구성되어 있습니다.","칼국수용 생면,채소,대파,애호박,청양고추",국,,,,,,,,,,,,,,,
4,6867222379,16417092793,83608027927,마이셰프 소고기 야끼우동,"마이셰프 소고기 야끼우동, 1개, 451g",10900,0,10900,"(100g당 2,417원)",4.5,10,1,"소고기, 숙면, 숙주나물, 쪽파, 소스 등으로 구성되어 있습니다.","소고기,숙면,숙주나물,쪽파,소스",면,소,,,,,,,,,,,,1,,
4,6197141509,12272525486,79542944321,마이셰프 EBS 최고의 요리비결 매콤 해장 파스타,"마이셰프 EBS 최고의 요리비결 매콤 해장 파스타, 632g, 1개",14900,6%,13900,"(100g당 2,199원)",4.5,40,1,"스파게티 면, 청경채, 마늘, 방울토마토, 대파, 양파, 소스, 해물, 건고추, 오일로 구성되어 있습니다.","스파게티 면,청경채,마늘,방울토마토,대파,양파,소스,해물,건고추,오일",파스타,갑각류,1,,,,,,,,,,,,1,
4,6641444059,15183076855,82404328831,마이셰프 허챠밍 캐슈넛 초계 냉파스타 2인분,"마이셰프 허챠밍 캐슈넛 초계 냉파스타 2인분, 684g, 1팩",14900,0,14900,"(100g당 2,178원)",4.5,6,1,"건면, 채소, 닭가슴살 채, 소스, 참깨로 구성되어 있습니다.","건면,채소,소스,참깨",파스타,,,,,,,,,,,,,,,
4,293473513,926572584,5302426619,마이셰프 소고기버섯잡채,"마이셰프 소고기버섯잡채, 571g, 1개",14900,0,14900,"(100g당 2,609원)",4.5,1275,1,"건면, 소고기, 새송이버섯, 느타리버섯, 홍파프리카, 청피망, 알가열제품, 참깨, 소스, 건목이버섯, 표고버섯채, 고소한 참기름으로 구성되어 있습니다.","건면,소고기,새송이버섯,느타리버섯,홍파프리카,청피망,참깨,소스,건목이버섯,표고버섯채",볶음,소,,,,,,,,,,,,1,,
4,6919151673,16702268908,83884772150,해물래 갑오징어파스타 크림소스,"해물래 갑오징어파스타 크림소스, 524g, 1세트",10890,0,10890,"(100g당 2,078원)",0,0,1,"숙면, 바지락, 새우, 갑오징어, 소스 등으로 구성되어 있습니다.","숙면,바지락,새우,갑오징어,소스",파스타,갑각류,1,,,,,,1,,,,,,,
4,6919151672,16702268907,83884772154,해물래 관자파스타 + 크림소스,"해물래 관자파스타 + 크림소스, 524g, 1세트",10890,0,10890,"(100g당 2,078원)",0,0,1,"숙면, 바지락, 새우, 키조개관자, 소스 등으로 구성되어 있습니다.","숙면,바지락,새우,키조개관자,소스",파스타,갑각류,1,,,,,1,,,,,,,,
4,6775844398,15921388137,83128695588,명인만두 비빔만두쫄면 1인분 (냉동),"명인만두 비빔만두쫄면 1인분 (냉동), 2개, 370g",10200,0,10200,"(100g당 1,378원)",0,0,1,"쫄면, 만두, 소스로 구성되어 있습니다.","쫄면,만두,소스",면,,,,,,,,,,,,,,,
4,6636743700,15154493527,82375972944,빽쿡 백종원의 우삼겹 고추장 비빔국수,"빽쿡 백종원의 우삼겹 고추장 비빔국수, 868g, 1개",11130,0,11130,"(100g당 1,282원)",0,0,1,"생면, 쇠고기, 적양배추, 양배추, 콩나물, 비빔국수 소스, 오이, 참기름으로 구성되어 있습니다.","생면,쇠고기,적양배추,양배추,콩나물,오이,참기름",국수,콩,,,,,,,,1,,,,1,,
4,6636743693,15154493518,82375972908,빽쿡 백종원의 우삼겹 된장 비빔국수,"빽쿡 백종원의 우삼겹 된장 비빔국수, 784g, 1개",10330,0,10330,"(100g당 1,318원)",0,0,1,"생면, 쇠고기, 양파, 대파, 다진 마늘, 참기름, 애호박, 청양고추, 홍고추, 된장 비빔국수 소스로 구성되어 있습니다.","생면,쇠고기,양파,대파,다진마늘,참기름,애호박,청양고추,홍고추",국수,소,,,,,,,,,,,,1,,
4,6512230119,14388930132,81633200077,프레시지 백년가게 바지락 가득 칼국수 (냉동),"프레시지 백년가게 바지락 가득 칼국수 (냉동), 1개, 1180g",15650,0,15650,"(100g당 1,326원)",0,0,1,"바지락, 칼국수, 소스, 채소(양파, 애호박, 대파, 당근)로 구성되어 있습니다.","바지락,칼국수,소스,채소,양파,애호박,대파,당근",국수,,,,,,,,,,,,,,,
4,6432224452,13886065595,81135806874,복선당 제주돔베고기 얼큰국수 2인분 (냉동),"복선당 제주돔베고기 얼큰국수 2인분 (냉동), 810g, 1개",15800,0,15800,"(100g당 1,951원)",0,0,1,"양념육, 소스, 대파, 생중면, 새우맛 양념으로 구성되어 있습니다.","양념육,소스,대파",국수,,,,,,,,,,,,,,,
4,6157107343,11924564492,79197371283,이랜드이츠 애슐리 버터관자 앤 쉬림프 파스타,"이랜드이츠 애슐리 버터관자 앤 쉬림프 파스타, 591g, 1개",15800,0,15800,"(100g당 2,673원)",0,0,1,"면, 흰다리새우살, 가리비관자살, 마늘, 대파, 조개육수스톡, 버터, 소스, 압착올리브유, 파슬리로 구성되어 있습니다.","면,흰다리새우살,마늘,대파,버터,소스,파슬리",파스타,갑각류,1,,,,,,,,,,,,,
4,6139303414,11763427424,79037232218,애슐리 관자 감바스 알아히요,"애슐리 관자 감바스 알아히요, 665g, 1개",18990,0,18990,"(100g당 2,856원)",0,0,1,"면, 빵, 건고추, 마늘, 방울토마토, 브로콜리, 마늘비법소스, 조개육수스톡, 소금, 관자, 새우, 대파, 올리브유로 구성되어 있습니다.","면,빵,건고추,마늘,방울토마토,브로콜리,소금,관자,새우,대파,올리브유",감바스,갑각류,1,,,,,,,,,,,,1,
4,6579815538,14802030232,82041787835,애슐리 까르보나라 수란 파스타,"애슐리 까르보나라 수란 파스타, 1개, 700g",13500,3%,12990,"(100g당 1,856원)",5.0,29,1,"건면, 소스, 양파, 대파, 베이컨, 치즈, 올리브유, 알 가열제품으로 구성되어 있습니다.","건면,소스,양파,대파,베이컨,치즈,올리브유",파스타,,,,,,,,,,,,,,,
4,6566203733,14721231901,81961916417,심플리쿡 바지락 통찜 파스타 (냉동),"심플리쿡 바지락 통찜 파스타 (냉동), 835g, 1개",9900,0,9900,"(100g당 1,186원)",4.5,102,1,"자숙 바지락, 스파게티 면, 채소(마늘, 홍고추, 그린빈), 갈릭 스파게티 소스로 구성되어 있습니다.","자숙 바지락,스파게티 면,채소,마늘,홍고추,그린빈",파스타,갑각류,1,,,,,,,,,,,,,
4,6566203739,14721231915,81961916455,심플리쿡 속 시원한 홍합탕 칼국수 (냉동),"심플리쿡 속 시원한 홍합탕 칼국수 (냉동), 920g, 1개",12400,15%,10500,"(100g당 1,141원)",4.5,35,1,"피홍합, 단호박 칼국수, 채소(대파, 마늘, 청양고추, 홍고추), 해물육수로 구성되어 있습니다.","피홍합,단호박 칼국수,채소,대파,마늘,청양고추,홍고추,해물육수",국수,조개류,,,,,,1,,,,,,,,
4,6410059382,13743233643,80994055822,쉐푸드 게살 로제 파스타 밀키트 (냉동),"쉐푸드 게살 로제 파스타 밀키트 (냉동), 515g, 1개",11900,0,11900,"(100g당 2,311원)",4.0,22,1,"스파게티면, 양송이, 게살 로제 소스, 양파, 깐마늘, 올리브오일, 페페로치노 홀, 파마산 치즈분말로 구성되어 있습니다.","스파게티면,양송이,양파,깐마늘,올리브오일,페페로치노 홀",파스타,갑각류,1,,,,,,,,,,,,,
